City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cidreira,BR,72.81,overcast clouds,-30.1811,-50.2056,Hotel Castelo
6,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
7,Dingle,PH,73.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
12,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
13,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
14,Sola,VU,81.77,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
17,Kapaa,US,78.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Rikitea,PF,78.03,light rain,-23.1203,-134.9692,People ThankYou
23,Yeppoon,AU,71.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
24,Batouri,CM,74.23,broken clouds,4.4333,14.3667,Hotel Hollywood
28,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
32,Kavieng,PG,81.52,broken clouds,-2.5744,150.7967,Nusa Island Retreat
37,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
44,Sao Jose Da Coroa Grande,BR,80.13,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
48,Buala,SB,82.22,light rain,-8.145,159.5921,Maringe Lagoon Lodge
52,Atuona,PF,78.39,light rain,-9.8,-139.0333,Villa Enata
54,Bandundu,CD,74.43,overcast clouds,-3.3167,17.3667,Coja Color
59,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
60,Nhamunda,BR,79.16,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
61,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
62,Grand-Santi,GF,77.07,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
65,Quelimane,MZ,74.89,scattered clouds,-17.8786,36.8883,Hotel Flamingo
68,Manaure,CO,84.31,clear sky,11.7751,-72.4445,Hotel Palaaima
70,Koumac,NC,81.91,moderate rain,-20.5667,164.2833,Le Monitel
71,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
75,Gurupi,BR,78.82,light rain,-11.7292,-49.0686,Via Norte Hotel
78,Butaritari,KI,82.13,light rain,3.0707,172.7902,Isles Sunset Lodge
83,Gbadolite,CD,77.79,broken clouds,4.2833,21.0167,Zenic
88,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
92,Cabo San Lucas,MX,75.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
95,Kavaratti,IN,78.46,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
98,Moerai,PF,78.58,light rain,-22.4333,-151.3333,Le Manotel
100,Namibe,AO,72.95,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
101,Biak,ID,75.61,overcast clouds,-0.9131,122.8766,Penginapan Kim
102,Salalah,OM,73.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
103,Balsas,BR,82.36,overcast clouds,-7.5325,-46.0356,Novo Hotel
105,Beira,MZ,82.49,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
106,Chuy,UY,77.02,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
109,Rocha,UY,74.66,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
111,Jeremie,HT,79.86,clear sky,18.65,-74.1167,Auberge’Inn
114,Ancud,CL,70.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
116,Akom,CM,70.5,overcast clouds,2.6678,12.7109,Complexe Hôtelier Jeannette
118,Natal,BR,83.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
