City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,-27.38,68,40,8.05,haze
1,Busselton,AU,-33.65,115.3333,66.09,52,0,4.16,clear sky
2,Cidreira,BR,-30.1811,-50.2056,72.81,96,100,4.0,overcast clouds
3,Orotukan,RU,62.2667,151.7,-28.23,100,86,3.6,overcast clouds
4,Damietta,EG,31.4165,31.8133,55.29,75,54,17.07,broken clouds
5,Hobart,AU,-42.8794,147.3294,59.25,86,75,6.91,broken clouds
6,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,75,16.11,moderate rain
7,Dingle,PH,10.9995,122.6711,73.44,92,100,10.18,overcast clouds
8,Pietersburg,ZA,-23.9045,29.4688,54.0,85,29,10.54,scattered clouds
9,Punta Arenas,CL,-53.15,-70.9167,55.51,50,0,8.05,clear sky
10,Yellowknife,CA,62.456,-114.3525,-20.7,76,40,2.3,scattered clouds
11,Ushuaia,AR,-54.8,-68.3,53.26,54,0,13.8,clear sky
12,Grand Gaube,MU,-20.0064,57.6608,79.38,84,100,8.99,overcast clouds
13,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,78,40,11.5,scattered clouds
14,Sola,VU,-13.8833,167.55,81.77,77,100,25.79,heavy intensity rain
15,Luderitz,NA,-26.6481,15.1594,67.95,73,15,8.39,few clouds
16,Provideniya,RU,64.3833,-173.3,0.16,63,0,14.47,clear sky
17,Kapaa,US,22.0752,-159.319,78.48,70,0,1.01,clear sky
18,Torbay,CA,47.6666,-52.7314,32.76,96,100,14.97,fog
19,Sile,TR,41.1754,29.6133,36.57,58,3,6.49,clear sky
20,Rikitea,PF,-23.1203,-134.9692,78.03,71,9,8.08,light rain
21,Flinders,AU,-34.5833,150.8552,67.8,76,89,8.99,light rain
22,Tuatapere,NZ,-46.1333,167.6833,55.81,73,99,2.15,overcast clouds
23,Yeppoon,AU,-23.1333,150.7333,71.38,73,98,19.44,overcast clouds
24,Batouri,CM,4.4333,14.3667,74.23,22,78,2.35,broken clouds
25,Ullapool,GB,57.8987,-5.1604,38.35,67,100,21.59,overcast clouds
26,Kaifeng,CN,34.7911,114.3483,31.06,43,4,4.97,clear sky
27,Jamestown,US,42.097,-79.2353,23.09,61,100,5.01,overcast clouds
28,Acapulco,MX,16.8634,-99.8901,84.02,65,20,6.91,few clouds
29,Dickinson,US,29.4608,-95.0513,35.98,76,100,3.0,overcast clouds
30,Port Elizabeth,ZA,-33.918,25.5701,67.1,82,75,2.3,broken clouds
31,Seminole,US,28.7086,-81.2081,87.39,59,20,1.01,few clouds
32,Kavieng,PG,-2.5744,150.7967,81.52,73,80,6.44,broken clouds
33,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,69,20,16.11,mist
34,Bluff,NZ,-46.6,168.3333,55.8,60,91,5.77,overcast clouds
35,Katsuura,JP,35.1333,140.3,35.71,64,25,18.41,scattered clouds
36,Ucluelet,CA,48.9329,-125.5528,48.51,94,100,3.0,overcast clouds
37,Saint-Philippe,RE,-21.3585,55.7679,80.15,87,100,27.07,moderate rain
